inputLeft outputLeft inputRight outputRight

0 0 0 0 
0 0 0 0 
-1270 -32383 -1255 -32383 
-1270 -32383 -1255 -32383 
-1268 -32255 -1255 -32255 
-1268 -32255 -1255 -32255 
-1266 -32127 -1257 -32127 
-1266 -32127 -1257 -32127 
-1266 -31999 -1256 -31999 
-1266 -31999 -1256 -31999 
-1265 -31871 -1256 -31871 
-1265 -31871 -1256 -31871 
-1264 -31743 -1257 -31743 
-1264 -31743 -1257 -31743 
-1264 -31615 -1256 -31615 
-1264 -31615 -1256 -31615 
-1265 -31487 -1256 -31487 
-1265 -31487 -1256 -31487 
-1267 -31359 -1257 -31359 
-1267 -31359 -1257 -31359 
-1265 -31231 -1256 -31231 
-1265 -31231 -1256 -31231 
-1267 -31103 -1255 -31103 
-1267 -31103 -1255 -31103 
-1268 -30975 -1254 -30975 
-1268 -30975 -1254 -30975 
-1267 -30847 -1256 -30847 
-1267 -30847 -1256 -30847 
-1264 -30719 -1256 -30719 
-1264 -30719 -1256 -30719 
-1267 -30591 -1254 -30591 
-1267 -30591 -1254 -30591 
-1267 -30463 -1255 -30463 
-1267 -30463 -1255 -30463 
-1266 -30335 -1255 -30335 
-1266 -30335 -1255 -30335 
-1266 -30207 -1255 -30207 
-1266 -30207 -1255 -30207 
-1266 -30079 -1256 -30079 
-1266 -30079 -1256 -30079 
-1264 -29951 -1255 -29951 
-1264 -29951 -1255 -29951 
-1267 -29823 -1256 -29823 
-1267 -29823 -1256 -29823 
-1266 -29695 -1254 -29695 
-1266 -29695 -1254 -29695 
-1265 -29567 -1254 -29567 
-1265 -29567 -1254 -29567 
-1266 -29439 -1253 -29439 
-1266 -29439 -1253 -29439 
-1264 -29311 -1254 -29311 
-1264 -29311 -1254 -29311 
-1263 -29183 -1254 -29183 
-1263 -29183 -1254 -29183 
-1263 -29055 -1253 -29055 
-1263 -29055 -1253 -29055 
-1265 -28927 -1254 -28927 
-1265 -28927 -1254 -28927 
-1264 -28799 -1253 -28799 
-1264 -28799 -1253 -28799 
-1263 -28671 -1252 -28671 
-1263 -28671 -1252 -28671 
-1265 -28543 -1251 -28543 
-1265 -28543 -1251 -28543 
-1263 -28415 -1251 -28415 
-1263 -28415 -1251 -28415 
-1262 -28287 -1252 -28287 
-1262 -28287 -1252 -28287 
-1261 -28159 -1252 -28159 
-1261 -28159 -1252 -28159 
-1260 -28031 -1251 -28031 
-1260 -28031 -1251 -28031 
-1259 -27903 -1251 -27903 
-1259 -27903 -1251 -27903 
-1258 -27775 -1250 -27775 
-1258 -27775 -1250 -27775 
-1258 -27647 -1250 -27647 
-1258 -27647 -1250 -27647 
-1258 -27519 -1251 -27519 
