inputLeft outputLeft inputRight outputRight

0 0 0 0 
0 0 0 0 
-1301 -32383 -1261 -32383 
-1301 -32383 -1261 -32383 
-1299 -32255 -1263 -32255 
-1299 -32255 -1263 -32255 
-1298 -32127 -1263 -32127 
-1298 -32127 -1263 -32127 
-1297 -31999 -1262 -31999 
-1297 -31999 -1262 -31999 
-1296 -31871 -1260 -31871 
-1296 -31871 -1260 -31871 
-1298 -31743 -1261 -31743 
-1298 -31743 -1261 -31743 
-1297 -31615 -1259 -31615 
-1297 -31615 -1259 -31615 
-1296 -31487 -1260 -31487 
-1296 -31487 -1260 -31487 
-1295 -31359 -1258 -31359 
-1295 -31359 -1258 -31359 
-1294 -31231 -1258 -31231 
-1294 -31231 -1258 -31231 
-1295 -31103 -1255 -31103 
-1295 -31103 -1255 -31103 
-1293 -30975 -1257 -30975 
-1293 -30975 -1257 -30975 
-1293 -30847 -1259 -30847 
-1293 -30847 -1259 -30847 
-1296 -30719 -1259 -30719 
-1296 -30719 -1259 -30719 
-1295 -30591 -1257 -30591 
-1295 -30591 -1257 -30591 
-1295 -30463 -1254 -30463 
-1295 -30463 -1254 -30463 
-1293 -30335 -1253 -30335 
-1293 -30335 -1253 -30335 
-1293 -30207 -1254 -30207 
-1293 -30207 -1254 -30207 
-1293 -30079 -1254 -30079 
-1293 -30079 -1254 -30079 
-1293 -29951 -1255 -29951 
-1293 -29951 -1255 -29951 
-1293 -29823 -1254 -29823 
-1293 -29823 -1254 -29823 
-1292 -29695 -1254 -29695 
-1292 -29695 -1254 -29695 
-1291 -29567 -1254 -29567 
-1291 -29567 -1254 -29567 
-1291 -29439 -1254 -29439 
-1291 -29439 -1254 -29439 
-1291 -29311 -1253 -29311 
-1291 -29311 -1253 -29311 
-1290 -29183 -1253 -29183 
-1290 -29183 -1253 -29183 
-1291 -29055 -1254 -29055 
-1291 -29055 -1254 -29055 
-1289 -28927 -1255 -28927 
-1289 -28927 -1255 -28927 
-1289 -28799 -1254 -28799 
-1289 -28799 -1254 -28799 
-1288 -28671 -1255 -28671 
-1288 -28671 -1255 -28671 
-1287 -28543 -1255 -28543 
-1287 -28543 -1255 -28543 
-1288 -28415 -1257 -28415 
-1288 -28415 -1257 -28415 
-1287 -28287 -1256 -28287 
-1287 -28287 -1256 -28287 
-1287 -28159 -1255 -28159 
-1287 -28159 -1255 -28159 
-1286 -28031 -1254 -28031 
-1286 -28031 -1254 -28031 
-1287 -27903 -1254 -27903 
-1287 -27903 -1254 -27903 
-1287 -27775 -1256 -27775 
-1287 -27775 -1256 -27775 
-1285 -27647 -1254 -27647 
-1285 -27647 -1254 -27647 
-1285 -27519 -1254 -27519 
